title,director,cast,country,date_added,release_year,rating,listed_in,description,num_of_seasons
"Akame ga Kill!",NULL,"Sora Amamiya, Soma Saito, Yukari Tamura, Yuu Asakawa, Mamiko Noto, Yoshitsugu Matsuoka, Katsuyuki Konishi, Risa Mizuno, Satomi Akesaka",Japan,"2020-03-01 00:00:00",2014,TV-14,"Anime Series, Crime TV Shows, International TV Shows","Tatsumi sets out on a journey to help his poor village. When he's rescued by a band of assassins, he joins their fight against the corrupt government.",1
Akbar Birbal,NULL,"Kiku Sharda, Vishal Kotian, Delnaaz Irani",India,"2020-03-31 00:00:00",2019,TV-G,"Kids' TV, TV Comedies, TV Dramas","From battles of wit to fights for justice, Emperor Akbar and his trusty advisor Birbal display their unique bond through adventures in Mughal-era India.",1
"Akulah Balqis","Pali Yahya","Puteri Balqis, Aeril Zafrel, Nabila Huda, Nazim Othman, Nadia Brian, Bella Dally",NULL,"2017-11-03 00:00:00",2015,TV-14,"International TV Shows, TV Dramas","A little girl must enter an orphanage after her parents are arrested, but her life takes a dramatic turn when she escapes and meets a model.",1
"Al Hayba",NULL,"Taim Hasan, Nadine Nassib Njeim, Abdo Chahine, Oweiss Mkhallalati, Mona Wassef",Lebanon,"2018-09-15 00:00:00",2017,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",1
"Alexa & Katie",NULL,"Paris Berelc, Isabel May, Tiffani Thiessen, Emery Kelly, Jolie Jenkins, Kerri Medders, Finn Carr, Eddie Shin","United States","2020-06-13 00:00:00",2020,TV-G,"Kids' TV, TV Comedies","Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.",4
"Alias Grace",NULL,"Sarah Gadon, Edward Holcroft, Paul Gross, Anna Paquin, Rebecca Liddiard, Zachary Levi, Kerr Logan, David Cronenberg",Canada,"2017-11-03 00:00:00",2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity. Based on Margaret Atwood's award-winning novel.",1
"Alice in Borderland",NULL,"Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka",Japan,"2020-12-10 00:00:00",2020,TV-MA,"International TV Shows, TV Action & Adventure, TV Mysteries","An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.",1
"Alien TV",NULL,"Rob Tinkler, Julie Lemieux, John Cleland, Kyle Dooley, Rupert Degas",NULL,"2020-08-21 00:00:00",2020,TV-Y7,"Kids' TV, TV Comedies","Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",1
"Alien Worlds",NULL,NULL,"United Kingdom","2020-12-02 00:00:00",2020,TV-PG,"British TV Shows, Docuseries, International TV Shows","Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets.",1
"All About the Washingtons",NULL,"Joseph Simmons, Justine Simmons, Kiana Ledé, Nathan Anderson, Leah Rose Randall, Maceo Smedley, Quincy Fouse, DJ Ruckus, Adain Bradley, Tim Meadows, Daymond John, Erick Chavarria, Christopher Clarke, Aubrey Cleland, Arsenio Hall, Stephen Schneider, Max Goudsmit, Noah Gerry, Jamie VanDyke, Ashleigh Hairston","United States","2018-08-10 00:00:00",2018,TV-PG,"TV Comedies","Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos.",1
"All American",NULL,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane","United States","2020-03-17 00:00:00",2019,TV-14,"TV Dramas, Teen TV Shows","Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.",2
"All For Love",NULL,"Ana María Estupiñán, Carlos Torres, Yuri Vargas, Jim Muñoz, Julio Sánchez Cóccaro, Alina Lozano, Valeria Gálviz, Juan Millán, Juan del Río, Mario Duarte",Colombia,"2020-06-26 00:00:00",2020,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.",1
"All Hail King Julien",NULL,"Danny Jacobs, Andy Richter, Henry Winkler, Kevin Michael Richardson, India de Beaufort, Jeff Bennett, David Krumholtz, Diedrich Bader, Debra Wilson, Sarah Thyre, Betsy Sodaro","United States","2017-12-01 00:00:00",2017,TV-Y7,"Kids' TV, TV Comedies","In this Emmy winner for Outstanding Children's Animated Program, Madagascar booty-shaker King Julien takes on the jungle’s craziest adventures.",5
"All Hail King Julien: Exiled",NULL,"Danny Jacobs, Andy Richter, Kevin Michael Richardson, India de Beaufort, Jeff Bennett, Maurice LaMarche",NULL,"2017-05-12 00:00:00",2017,TV-Y7,"Kids' TV, TV Action & Adventure, TV Comedies","Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom.",1
"Almost Happy","Hernán Guerschuny","Sebastián Wainraich, Natalie Pérez, Santiago Korovsky",Argentina,"2020-05-02 00:00:00",2020,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.",1
Alone,NULL,NULL,NULL,"2020-06-02 00:00:00",2019,TV-14,"Reality TV","Equipped with limited resources, an isolated group of individuals is subjected to the harsh conditions of the wilderness and must survive — or tap out.",1
Alphablocks,NULL,"Teresa Gallagher, David Holt, Lizzie Waterworth","United Kingdom","2020-05-25 00:00:00",2014,TV-Y,"Kids' TV","The letters of the alphabet come to life in Alphaland as they read, write and spell their way into an exciting world of phonic fun.",5
"Altered Carbon",NULL,"Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann","United States","2020-02-27 00:00:00",2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",2
"Always a Witch",NULL,"Angely Gaviria, Sebastián Eslava, Luis Fernando Hoyos, Verónica Orozco, Lenard Vanderaa, Sofía Araujo, Dylan Fuentes, Valeria Emiliani, Dubán Prado, Carlos Quintero",Colombia,"2020-02-28 00:00:00",2019,TV-14,"International TV Shows, Spanish-Language TV Shows, TV Comedies","A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival.",2
"Amazing Interiors",NULL,NULL,"United Kingdom","2018-07-20 00:00:00",2018,TV-PG,"British TV Shows, International TV Shows, Reality TV","Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium.",1
"America's Book of Secrets",NULL,"Jonathan Adams","United States","2019-09-15 00:00:00",2014,TV-14,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",1
"America's Next Top Model",NULL,"Tyra Banks","United States","2020-11-15 00:00:00",2013,TV-14,"Reality TV","Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.",2
"American Crime",NULL,"Felicity Huffman, Timothy Hutton, Elvis Nolasco, Regina King, Lili Taylor, Richard Cabral, Brent Anderson, Benito Martinez, Shane Jacobsen, W. Earl Brown, Caitlin Gerard, Penelope Ann Miller, Johnny Ortiz","United States","2017-05-30 00:00:00",2017,TV-MA,"Crime TV Shows, TV Dramas","This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system.",3
"American Crime Story: The People v. O.J. Simpson",NULL,"Cuba Gooding Jr., Sarah Paulson, John Travolta, Courtney B. Vance, Sterling K. Brown, Kenneth Choi, Christian Clemenson, Bruce Greenwood, Nathan Lane, David Schwimmer, Chris Bauer, Jordana Brewster, Selma Blair, Connie Britton","United States","2019-03-06 00:00:00",2016,TV-MA,"Crime TV Shows, TV Dramas","This anthology series dramatizes historic criminal cases in the U.S., including the O.J. Simpson trial and Andrew Cunanan's 1997 murder spree.",1
"American Experience: The Circus","Sharon Grimberg",NULL,"United States","2019-05-02 00:00:00",2018,TV-PG,Docuseries,"An exploration of the American circus, as the spectacle evolved from a one-ring show to a cultural event and eventually, a dying breed.",1
"American Horror Story",NULL,"Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston","United States","2020-11-13 00:00:00",2019,TV-MA,"TV Horror, TV Mysteries, TV Thrillers","This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil.",9
"American Odyssey",NULL,"Anna Friel, Peter Facinelli, Jake Robinson, Jim True-Frost, Treat Williams, Sadie Sink, Omar Ghazaoui, Nate Mooney, Elena Kampouris, Daniella Pineda, Adewale Akinnuoye-Agbaje","United States","2016-04-05 00:00:00",2015,TV-14,"TV Dramas, TV Thrillers","An elite soldier, a corporate lawyer and a political activist uncover a deadly conspiracy linking terrorists to a powerful American corporation.",1
"American Vandal",NULL,"Tyler Alvarez, Griffin Gluck, Jimmy Tatro, Camille Hyde, Lou Wilson, Eduardo Franco, Jessica Juarez, Camille Ramsey, Calum Worthy, G. Hannelius, Karly Rothenberg","United States","2018-09-14 00:00:00",2018,TV-MA,"Crime TV Shows, TV Comedies, Teen TV Shows","A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery.",2
AMO,NULL,"Derek Ramsay, Vince Rillon, Allen Dizon, Felix Roco, Ruby Ruiz",Philippines,"2018-04-09 00:00:00",2017,TV-MA,"International TV Shows, TV Dramas","Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption.",1
"An Innocent Mistake",NULL,"Jason Wang, Mathilde Lin, Mo Tzu Yi, Xi Man-Ning, Lin Mei-hsiu, Kelly Huang, Joy Pan",Taiwan,"2017-01-01 00:00:00",2012,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Raised by three mothers, a self-assured teen in turmoil meets the father figure she never had. But she also stands to drive the man and his son apart.",1
"Ancient Aliens",NULL,"Robert Clotworthy","United States","2019-09-17 00:00:00",2018,TV-14,"Docuseries, Science & Nature TV","Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?",1
"Angel 'N' Devil",NULL,"Simon Lian, Teddy Chen, Sylvia Wang, Cosmos Lin, Ting Liu, Lucia Chen, Allie Ji, Sunnee Yang, Na Wei-hsun",Taiwan,"2019-04-30 00:00:00",2014,TV-14,"International TV Shows, TV Action & Adventure, TV Comedies","In a world known as the Copper Dimension, a group of high-school girls fights against dark forces – and their own inner demons.",1
"Angel Beats!",NULL,"Hiroshi Kamiya, Harumi Sakurai, Kana Hanazawa, Eri Kitamura, Ryohei Kimura, Takahiro Mizushima, Shun Takagi, Fuko Saito, Yui Makino, Hiro Masuda, Michael Rivas, Eiichiro Tokumoto, Yumiko Kobayashi, Hiroki Touchi, Miyuki Sawashiro, Chie Matsuura, Kana Asumi, Emiri Kato",Japan,"2019-07-15 00:00:00",2010,TV-PG,"Anime Series, International TV Shows","In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world.",1
"Angry Birds",NULL,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"2019-03-16 00:00:00",2018,TV-Y7,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",3
"Anitta: Made In Honório","Andrucha Waddington, Pedro Waddington",Anitta,Brazil,"2020-12-16 00:00:00",2020,TV-MA,"Docuseries, International TV Shows","In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits.",1
"Anjaan: Rural Myths",NULL,NULL,India,"2018-12-15 00:00:00",2018,TV-14,"International TV Shows, TV Horror, TV Thrillers","Spine-chilling stories of malevolent spirits unfold in villages, jungles and haunted buildings across India.",1
"Anjaan: Special Crimes Unit",NULL,"Gashmeer Mahajani, Heena Parmar",India,"2018-05-01 00:00:00",2018,TV-14,"International TV Shows, TV Horror, TV Mysteries","The cases are supernatural; the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal.",1
"Anne with an E",NULL,"Amybeth McNulty, Geraldine James, R.H. Thomson, Corrine Koslo, Dalila Bela, Lucas Jade Zumann, Aymeric Jett Montaz",Canada,"2020-01-03 00:00:00",2019,TV-PG,"International TV Shows, TV Dramas, Teen TV Shows","A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on "Anne of Green Gables."",3
"Anohana: The Flower We Saw That Day",NULL,"Miyu Irino, Ai Kayano, Haruka Tomatsu, Takahiro Sakurai, Saori Hayami, Takayuki Kondo, Mitsuru Ogata, Mutsumi Tamura, Asami Seto, Aki Toyosaki, Kaoru Mizuhara, Yui Makino",Japan,"2019-07-15 00:00:00",2011,TV-14,"Anime Series, International TV Shows, Teen TV Shows","A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.",1
"Another Life",NULL,"Katee Sackhoff, Justin Chatwin, Samuel Anderson, Blu Hunt, AJ Rivera, Jake Abel, Alex Ozerov, Alexander Eling, Lina Renna, Selma Blair","United States","2019-07-25 00:00:00",2019,TV-MA,"TV Action & Adventure, TV Dramas, TV Mysteries","After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact.",1
"Another Miss Oh",NULL,"Seo Hyun-jin, Eric Moon, Jeon Hye-bin, Ye Ji-won, Kim Ji-seok, Lee Jae-yoon, Lee Han-wi, Kim Mee-kyeong, Oh Man-seok, Lee Pil-mo","South Korea","2019-10-16 00:00:00",2016,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name.",1
"Answer for Heaven",NULL,"Sunny Suwanmethanont, Kan Kantathavorn, Pattarasaya Kreuasuwansri, Chayanan Manomaisantiphap, Suwaphat Techaviriyawong, Prachakorn Piyasakulkaew, Nattarika Thampridanant, Michael Shaowanasai, Pattanachai Adirek",NULL,"2019-06-27 00:00:00",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Comedies","An angel falls to earth to investigate why humans are doing fewer good deeds – and falls in with a hard-charging crime reporter and his news team.",1
"Anthony Bourdain: Parts Unknown",NULL,"Anthony Bourdain","United States",NULL,2018,TV-PG,Docuseries,"This CNN original series has chef Anthony Bourdain traveling to extraordinary locations around the globe to sample a variety of local cuisines.",5
