title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_in_minutes
"3 Heroines","Iman Brotoseno","Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",Indonesia,"2019-01-05 00:00:00",2016,TV-PG,"Dramas, International Movies, Sports Movies","Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.",124
"3 Idiots","Rajkumar Hirani","Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,"2019-08-01 00:00:00",2009,PG-13,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",164
"3 Seconds Divorce","Shazia Javed",NULL,Canada,"2019-06-15 00:00:00",2018,TV-PG,"Documentaries, Faith & Spirituality","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",53
"3 Türken & ein Baby","Sinan Akkuş","Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",Germany,"2016-12-15 00:00:00",2015,TV-MA,"Comedies, International Movies","The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.",93
"30 Days of Luxury","Hani Hamdi","Taher Farouz, Sad Al-Saghir, Ahmad Faloks, Soleiman Eid, Mahmood El-Laithi, Hesham Ismail, Shaima Saif, Nermin Maher, Sofinar",Egypt,"2019-04-18 00:00:00",2016,TV-14,"Comedies, International Movies","With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.",91
"30 Minutes or Less","Ruben Fleischer","Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward","United States","2021-01-01 00:00:00",2011,R,"Action & Adventure, Comedies","Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.",83
"300 Miles to Heaven","Maciej Dejczer","Krzysztof Stroiński, Andrzej Mellin, Adrianna Biedrzyńska, Adrianna Biedrzyńska, Rafał Zimowski, Kama Kowalewska, Wiesław Komasa, Aleksander Bednarz, Jadwiga Jankowska-Cieslak, Wojciech Klata","Denmark, France, Poland","2019-10-01 00:00:00",1989,TV-14,"Dramas, International Movies","Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.",93
"365 Days","Barbara Białowąs, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska, Natasza Urbańska, Grażyna Szapołowska, Tomasz Stockinger, Gianni Parisi, Mateusz Łasowski",Poland,"2020-06-07 00:00:00",2020,TV-MA,"Dramas, International Movies, Romantic Movies","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",114
"37 Seconds",Hikari,"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi",Japan,"2020-01-31 00:00:00",2020,TV-MA,"Dramas, International Movies","Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",116
"40 Sticks","Victor Gatonye","Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya",Kenya,"2020-11-20 00:00:00",2019,TV-14,"International Movies, Thrillers","When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",93
"42 Grams","Jack C. Newell","Jake Bickelhaupt","United States","2018-02-01 00:00:00",2017,TV-MA,Documentaries,"After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.",81
"48 Christmas Wishes","Marco Deufemia, Justin G. Dyck","Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew",Canada,"2017-12-20 00:00:00",2017,TV-G,"Children & Family Movies, Comedies","When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",84
4L,"Gerardo Olivares","Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen",Spain,"2019-07-12 00:00:00",2019,TV-MA,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",105
"4th Man Out","Andrew Nackman","Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein","United States","2016-05-05 00:00:00",2015,NR,"Comedies, LGBTQ Movies","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.",86
"4th Republic","Ishaya Bako","Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu’azu, Emil Hirai-Garuba, Rekiya Ibrahim Atta",Nigeria,"2020-06-13 00:00:00",2019,TV-MA,"Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",120
"5 Cowok Jagoan","Anggy Umbara","Ario Bayu, Arifin Putra, Dwi Sasono, Muhadkly Acho, Cornelio Sunny, Tika Bravani, Nirina Zubir, Ganindra Bimo, Verdi Solaiman",NULL,"2019-01-05 00:00:00",2017,TV-MA,"Action & Adventure, Comedies, International Movies","Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.",106
"5 Flights Up","Richard Loncraine","Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer","United States","2019-03-17 00:00:00",2014,PG-13,"Comedies, Dramas, Independent Movies","A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",92
"5 Star Christmas","Marco Risi","Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paola Minaccioni",Italy,"2018-12-07 00:00:00",2018,TV-14,"Comedies, International Movies","When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",96
"5 to 7","Victor Levin","Anton Yelchin, Bérénice Marlohe, Olivia Thirlby, Lambert Wilson, Frank Langella, Glenn Close","United States","2017-03-16 00:00:00",2014,R,"Comedies, Dramas, Romantic Movies","A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.",97
"50 First Dates","Peter Segal","Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph","United States","2020-12-01 00:00:00",2004,PG-13,"Comedies, Romantic Movies","After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",99
50/50,"Jonathan Levine","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy","United States","2019-06-01 00:00:00",2011,R,"Comedies, Dramas, Independent Movies","An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.",100
5CM,"Rizal Mantovani","Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",Indonesia,"2018-09-28 00:00:00",2012,TV-14,"Dramas, International Movies","Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",126
5Gang,"Matei Dima","Andrei Selaru, Dorian Popa, Julia Marcan, Ana Radu, Cosmin Nedelcu, Diana Condurache, Andrei Gavril, Luca Bogdan",Romania,"2020-04-27 00:00:00",2019,TV-14,"Comedies, International Movies","To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter — until he gets kidnapped.",96
"6 Balloons","Marja Lewis Ryan","Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock","United States","2018-04-06 00:00:00",2018,TV-MA,"Dramas, Independent Movies","A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.",75
"6 Days","Toa Fraser","Jamie Bell, Abbie Cornish, Mark Strong, Martin Shaw, Ben Turner, Aymen Hamdouchi, Tim Pigott-Smith, Robert Portal, Colin Garlick, Andrew Grainger, Martin Hancock, Emun Elliott","New Zealand, United Kingdom","2018-02-08 00:00:00",2017,R,"Action & Adventure, Dramas, International Movies","When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",94
"6 Underground","Michael Bay","Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Dave Franco, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold","United States","2019-12-13 00:00:00",2019,R,"Action & Adventure, Dramas","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",129
"6 Years","Hannah Fidell","Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael","United States","2015-09-08 00:00:00",2015,TV-MA,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80
6-5=2,"Bharat Jain","Prashantt Guptha, Gaurav Paswala, Gaurav Kothari, Disha Kapoor, Niharica Raizada, Ashrut Jain, Darshan Machamada",India,"2017-11-01 00:00:00",2014,TV-MA,"Horror Movies, International Movies, Thrillers","Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical.",103
"68 Kill","Trent Haaga","Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust","United States","2019-09-01 00:00:00",2017,R,"Comedies, Independent Movies, Thrillers","A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.",96
"7 años","Roger Gual","Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl, Manuel Morón",Spain,"2016-10-27 00:00:00",2016,TV-MA,"Dramas, International Movies","Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.",77
"7 Din Mohabbat In","Meenu Gaur, Farjad Nabi","Mahira Khan, Sheheryar Munawar, Javed Sheikh, Hina Dilpazeer, Amna Ilyas, Mira Sethi, Rimal Ali, Salahuddin Tunio, Aamir Qureshi, Adnan Shah",Pakistan,"2019-05-15 00:00:00",2018,TV-PG,"Comedies, International Movies, Music & Musicals","Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife.",137
"7 Khoon Maaf","Vishal Bhardwaj","Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan, Aleksandr Dyachenko, Annu Kapoor, Naseeruddin Shah, Vivaan Shah, Usha Uthup, Konkona Sen Sharma",India,"2018-08-02 00:00:00",2011,TV-MA,"Dramas, International Movies, Thrillers","Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed.",148
"90 ML","Anita Udeep","Oviya, Masoom Shankar, Bommu Lakshmi, Monisha Ram, Tej Raj, Shree Gopika, Anson Paul, Devadarshini Chetan",India,"2019-08-13 00:00:00",2019,TV-MA,"Comedies, International Movies, Music & Musicals","Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.",123
"93 Days","Steve Gukas","Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,"2020-03-05 00:00:00",2016,TV-PG,"Dramas, International Movies, Thrillers","Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.",121
"A 2nd Chance","Clay Glen","Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley, Carmel Johnson, Alanah Gilbert, Hapi Murphy, Lilly Blacker, Julie Kay Lumasag, Elysia Markou",Australia,"2017-07-01 00:00:00",2011,PG,"Children & Family Movies, Dramas, Sports Movies","A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.",95
"A 3 Minute Hug","Everardo González",NULL,"Mexico, United States","2019-10-28 00:00:00",2019,TV-PG,"Documentaries, International Movies","This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.",28
"A Babysitter's Guide to Monster Hunting","Rachel Talalay","Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough","United States","2020-10-15 00:00:00",2020,TV-PG,"Children & Family Movies","Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",99
"A Bad Moms Christmas","Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Susan Sarandon, Christine Baranski, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley","United States, China","2020-02-14 00:00:00",2017,R,Comedies,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.",104
"A Beautiful Life","Andrew Lau Wai-Keung","Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong","2018-12-01 00:00:00",2011,TV-14,"Dramas, International Movies, Romantic Movies","After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",122
